Sequence id 	Synonyms	Description 	EC number 	WT expr 1	WT expr 2	CLA50 expr 1	CLA50 expr 2	Fold change	q-value	"significant +, q <0.0005"
SCLAV3952 		Secreted protein 		282	312	257	265	0.878	3.66E-03	no
SCLAV3953 		Putative NADH dehydrogenase/NAD(P)H nitroreductase SGR_2476 		136	140	152	179	1.2	6.92E-02	no
SCLAV3954 		Putative exoribonuclease small subunit 	3.1.11.6	118	124	146	130	1.142	1.09E-01	no
SCLAV3955 	ex7L	Exodeoxyribonuclease 7 large subunit 	3.1.11.6	131	139	115	118	0.863	1.63E-03	no
SCLAV3956 		Amino acid permease 		83	91	66	76	0.817	4.42E-03	no
SCLAV3957 	"ispH, lytB"	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 	1.17.1.2	245	289	277	273	1.03	1.84E-01	no
SCLAV3958 		Putative polyphosphate glucokinase 	2.7.1.63	180	175	195	214	1.152	2.21E-02	no
SCLAV3959 		Integral membrane protein 		77	66	56	62	0.821	7.63E-03	no
SCLAV3960 		ATP/GTP binding protein 		259	258	308	259	1.099	1.88E-01	no
SCLAV3961 		DUF820 domain containing protein		76	90	77	99	1.062	1.84E-01	no
SCLAV3963 		Putative membrane protein 		35	33	40	44	1.244	1.09E-01	no
SCLAV3964 		Chitinase II 		34	37	32	34	0.928	4.50E-02	no
SCLAV3966 	mutT	mutT-like protein 	3.6.1.-	205	221	237	238	1.116	1.53E-02	no
SCLAV3967 		regulatory protein 		78	95	69	82	0.871	3.21E-02	no
SCLAV3968 	prpM	Magnesium or manganese-dependent protein phosphatase 		130	128	133	136	1.042	1.84E-01	no
SCLAV3969 	sdhB	fumarate reductase iron-sulfur subunit 	1.3.99.1	58	59	45	54	0.848	1.04E-02	no
SCLAV3970 	sdhA	Putative succinate dehydrogenase flavoprotein subunit (Complex II) 	1.3.99.1	71	74	60	63	0.85	2.63E-03	no
SCLAV3971 		Integral membrane protein 		79	84	69	69	0.848	2.63E-03	no
SCLAV3973 		Lipoprotein 		41	47	28	30	0.661	2.19E-03	no
SCLAV3974 		GTP-binding elongation factor 		274	277	174	196	0.673	4.90E-04	no
SCLAV3975 		"BldKA, ABC transport system integral membrane protein "		41	41	124	142	3.25	4.90E-04	yes
SCLAV3976 		"BldKB, ABC transport system lipoprotein "		72	82	319	312	4.12	4.90E-04	yes
SCLAV3977 		"BldKC, ABC transport system integral membrane protein "		67	72	118	137	1.84	8.76E-04	no
SCLAV3978 		ABC transporter intracellular ATPase subunit 		37	38	66	66	1.744	4.90E-04	yes
SCLAV3979 	bldKE	ABC transporter ATP-binding protein 		74	79	130	132	1.712	4.90E-04	yes
SCLAV3980 		GCN5-related N-acetyltransferase		82	94	178	185	2.067	4.90E-04	yes
SCLAV3981 		Peptide transport system secreted peptide-binding protein 		52	53	46	44	0.849	3.66E-03	no
SCLAV3982 	oppB	Oligopeptide ABC transporter substrate-binding protein 		91	84	62	59	0.691	7.86E-04	no
SCLAV3983 		Transport system protein 		88	82	55	54	0.644	4.90E-04	no
SCLAV3984 		Peptide ABC transporter ATP-binding protein 		94	100	61	62	0.637	4.90E-04	no
SCLAV3985 		Peptide ABC transporter ATP-binding protein 		35	33	24	23	0.687	1.63E-03	no
SCLAV3986 		Peptidase 	3.4.14.5	98	94	70	86	0.809	5.85E-03	no
SCLAV3988 	mshB	N-acetyl-1-D-myo-inosityl-2-amino-2 		212	236	307	332	1.425	7.86E-04	no
SCLAV3989 		Putative integral membrane protein 		117	128	79	89	0.688	8.76E-04	no
SCLAV3990 		Hypothetical protein		170	179	202	206	1.17	1.28E-03	no
SCLAV3992 		Hypothetical protein		147	140	123	120	0.849	9.98E-04	no
SCLAV3993 		Putative acetyltransferase 		108	105	103	106	0.981	6.92E-02	no
SCLAV3994 		Ferredoxin 		418	408	400	418	0.99	1.09E-01	no
SCLAV3995 		N-succinyldiaminopimelate aminotransferase 		110	111	100	99	0.898	1.19E-03	no
SCLAV3996 		Hypothetical protein		28	30	18	22	0.695	4.42E-03	no
SCLAV3997 		Putative succinyl-diaminopimelate desuccinylase 	3.5.1.18	91	97	86	89	0.931	1.53E-02	no
SCLAV3998 		Lysine decarboxylase family protein 		209	196	236	231	1.153	3.16E-03	no
SCLAV3999 		Dihydropteroate synthase 	2.5.1.15	75	83	69	74	0.91	2.21E-02	no
SCLAV4000 		Secreted protein 		132	137	115	134	0.931	3.21E-02	no
SCLAV4001 		putative DNA-3-methyladenine glycosylase I 	3.2.2.20	59	51	42	49	0.829	1.53E-02	no
SCLAV4002 		Putative enoyl-CoA hydratase/isomerase 	4.2.1.17	111	108	116	128	1.114	1.56E-01	no
SCLAV4004 		O-methyltransferase 		122	132	104	105	0.821	1.28E-03	no
SCLAV4005 	sigE	RNA polymerase sigma factor SigE 		946	846	701	663	0.761	7.86E-04	no
SCLAV4006 		Hypothetical protein		686	631	409	386	0.604	4.90E-04	no
SCLAV4007 		putative serine protease 	3.4.21.-	136	145	113	113	0.804	8.76E-04	no
SCLAV4008 	tatB	sec-independent translocase 		132	135	303	308	2.289	4.90E-04	yes
SCLAV4009 		Hypothetical protein		112	119	171	187	1.549	4.90E-04	yes
SCLAV4010 		ATP-binding protein 		214	213	291	299	1.383	4.90E-04	yes
SCLAV4011 		Integral membrane protein 		58	66	36	44	0.648	1.63E-03	no
SCLAV4012 		Magnesium transporter 		75	80	46	46	0.597	4.90E-04	no
SCLAV4013 		Lipoprotein 		47	49	50	37	0.915	4.50E-02	no
SCLAV4014 		Hypothetical protein		106	110	108	116	1.038	1.90E-01	no
SCLAV4015 		Metal-transport protein 		130	119	156	168	1.301	2.63E-03	no
SCLAV4017 		Hypothetical protein		88	93	63	60	0.683	4.90E-04	no
SCLAV4018 		Hypothetical protein		161	165	309	320	1.932	4.90E-04	yes
SCLAV4019 		PHP C-terminal domain-containing protein 		43	53	41	42	0.858	2.21E-02	no
SCLAV4020 		Integral membrane protein 		50	50	30	39	0.7	3.16E-03	no
SCLAV4022 		DUF88 domain containing protein		49	49	36	40	0.782	2.63E-03	no
SCLAV4023 		Hypothetical protein		77	90	56	64	0.722	2.63E-03	no
SCLAV4024 		"Transcriptional regulator, LysR family "		73	80	65	68	0.863	7.63E-03	no
SCLAV4025 		Hydrolase 		82	82	59	64	0.749	8.76E-04	no
SCLAV4026 		ATP-dependent RNA helicase 		740	741	564	553	0.754	4.90E-04	no
SCLAV4027 		Hypothetical protein		43	45	44	45	1.007	1.81E-01	no
SCLAV4028 		Hypothetical protein		75	78	294	278	3.737	4.90E-04	yes
SCLAV4030 		TetR-family transcriptional regulator 		172	173	273	252	1.526	4.90E-04	yes
SCLAV4032 		hydrolase 		101	91	117	124	1.253	5.85E-03	no
SCLAV4033 		Hypothetical protein		108	102	77	89	0.791	2.63E-03	no
SCLAV4035 		ABC transporter solute-binding protein 		78	76	60	53	0.736	1.03E-03	no
SCLAV4036 		ABC transporter system integral membrane protein 		42	39	27	26	0.657	1.03E-03	no
SCLAV4037 		ABC transporter system integral membrane protein 		84	74	49	50	0.627	8.76E-04	no
SCLAV4038 		ABC transporter ATP-binding protein 		37	33	22	24	0.653	2.63E-03	no
SCLAV4039 		putative reductase		95	100	58	65	0.631	4.90E-04	no
SCLAV4040 		Hypothetical protein		69	76	48	49	0.667	8.76E-04	no
SCLAV4041 		UBA/THIF-type NAD/FAD binding protein 		178	178	186	163	0.982	1.09E-01	no
SCLAV4042 		Protease 		329	341	166	190	0.531	4.90E-04	no
SCLAV4043 		Protease 		70	75	67	66	0.911	1.53E-02	no
SCLAV4044 		Integral membrane protein 		160	179	129	143	0.801	2.63E-03	no
SCLAV4045 		methylated-DNA-(protein)-cysteine S-methyltransferase DNA binding		211	184	203	215	1.057	1.90E-01	no
SCLAV4047 		Putative ATP-dependent DNA helicase 		73	80	60	53	0.74	1.63E-03	no
SCLAV4048 		Putative ATP-dependent DNA helicase 	3.6.1.-	184	197	128	139	0.701	4.90E-04	no
SCLAV4049 		Peptidase 		82	75	68	71	0.884	7.63E-03	no
SCLAV4050 		NUDIX hydrolase 	3.6.1.22	62	67	58	56	0.884	7.63E-03	no
SCLAV4051 		Putative glutaredoxin-like protein 		671	662	711	726	1.079	8.76E-04	no
SCLAV4052 		ATP-dependent DNA helicase 	3.6.1.-	123	122	109	109	0.889	7.86E-04	no
SCLAV4053 		Hypothetical protein		1343	1168	1798	1548	1.333	5.85E-03	no
SCLAV4054 		WhiB-family transcriptional regulator		555	518	442	417	0.8	6.56E-04	no
SCLAV4055 		Hypothetical protein		526	521	385	408	0.758	4.90E-04	no
SCLAV4057 		ABC transporter ATP-binding protein 		189	195	210	205	1.081	1.53E-02	no
SCLAV4058 		secreted protein 		103	93	78	71	0.758	1.63E-03	no
SCLAV4059 		metal-dependent hydrolase 		117	130	110	123	0.943	4.50E-02	no
SCLAV4060 		NUDIX family protein		369	382	127	133	0.347	4.90E-04	no
SCLAV4061 		DUF2342 domain containing protein		623	566	178	184	0.305	4.90E-04	no
SCLAV4062 		NAD-dependent epimerase/dehydratase 		33	35	33	26	0.87	3.21E-02	no
SCLAV4063 	moaE	molybdopterin biosynthesis protein E 		79	87	54	57	0.671	7.86E-04	no
SCLAV4065 		Secreted protein 		73	77	57	65	0.81	3.66E-03	no
SCLAV4066 		Hypothetical protein		112	108	63	61	0.563	4.90E-04	no
SCLAV4067 		Putative integral membrane protein 		605	571	422	422	0.717	4.90E-04	no
SCLAV4068 		Sel1-like repeat-containing serine/threonine protein kinase		435	411	300	309	0.719	4.90E-04	no
SCLAV4070 	catR	Hydrogen peroxide sensitive repressor 		528	507	502	503	0.971	1.53E-02	no
SCLAV4071 		Bromoperoxidase-catalase 	1.11.1.6	182	187	581	586	3.161	4.90E-04	yes
SCLAV4072 		CBS domain protein		22	23	18	26	0.972	1.56E-01	no
SCLAV4073 		Putative monophosphatase 		58	46	42	40	0.793	1.04E-02	no
SCLAV4074 		TetR-family transcriptional regulator 		86	93	89	79	0.941	4.50E-02	no
SCLAV4075 		SMR-type multi-drug efflux transporter 		60	69	31	42	0.564	1.28E-03	no
SCLAV4076 	engC	GTPase EngC 	3.6.1.-	55	50	36	36	0.685	1.19E-03	no
SCLAV4077 		3-phosphoshikimate 1-carboxyvinyltransferase 	2.5.1.19	60	62	44	52	0.786	3.66E-03	no
SCLAV4079 		Integral membrane protein 		61	68	49	50	0.767	2.63E-03	no
SCLAV4080 		Conserved hypothetical protein		143	120	92	99	0.727	2.19E-03	no
SCLAV4081 		Hypothetical protein		49	38	34	29	0.711	7.63E-03	no
SCLAV4082 		RNA polymerase sigma factor RpoE 		820	768	645	625	0.8	4.90E-04	no
SCLAV4083 		Putative anti-sigma factor 		893	847	629	634	0.726	4.90E-04	no
SCLAV4084 		Putative integral membrane protein 		35	42	35	32	0.862	3.21E-02	no
SCLAV4085 		lipoprotein 		49	36	46	24	0.824	4.50E-02	no
SCLAV4086 		Hypothetical protein		88	80	117	119	1.403	7.86E-04	no
SCLAV4087 		putative polypeptide deformylase 	3.5.1.88	64	71	61	96	1.162	1.88E-01	no
SCLAV4088 		Ribonucleoside-diphosphate reductase beta chain protein 	1.17.4.1	33	32	34	42	1.177	1.90E-01	no
SCLAV4089 	nrdL	Ribonucleoside-diphosphate reductase 	1.17.4.1	29	29	14	21	0.604	4.42E-03	no
SCLAV4090 		Hypothetical protein		46	51	24	22	0.476	5.79E-04	no
SCLAV4092 		toxin 		118	128	168	154	1.316	2.63E-03	no
SCLAV4093 	dasR	HTH-type transcriptional repressor dasR 		35	32	39	35	1.094	1.90E-01	no
SCLAV4094 	dasA	Putative sugar transporter sugar binding protein 		70	74	52	75	0.884	4.50E-02	no
SCLAV4095 	dasB	Sugar ABC transporter permease protein 		58	57	23	28	0.436	4.90E-04	no
SCLAV4096 	dasC	Sugar ABC transporter permease protein 		42	52	25	21	0.495	1.19E-03	no
SCLAV4097 		Putative sugar hydrolase 	3.2.1.52	49	52	23	29	0.514	7.86E-04	no
SCLAV4098 		Putative phosphosugar isomerases 	2.6.1.16	28	26	14	14	0.509	9.98E-04	no
SCLAV4099 		Histidine kinase 		81	84	33	33	0.395	4.90E-04	no
SCLAV4100 	wblE	WhiB-family transcriptional regulator 		1199	1041	1226	1129	1.051	1.90E-01	no
SCLAV4101 		diacylglycerol kinase catalytic region		35	37	24	19	0.591	1.63E-03	no
SCLAV4102 		putative integral membrane protein 		128	132	77	85	0.625	4.90E-04	no
SCLAV4103 	sigH	RNA polymerase sigma factor 		90	86	195	180	2.131	4.90E-04	yes
SCLAV4104 	rshA	 putative anti-sigma factor rshA		187	205	719	799	3.868	4.90E-04	yes
SCLAV4105 		Na+ antiporter 		105	113	70	61	0.596	4.90E-04	no
SCLAV4106 		Sodium/proton antiporter 		57	61	26	23	0.419	4.90E-04	no
SCLAV4107 		1-aminocyclopropane-1-carboxylate deaminase 	3.5.99.7	81	84	28	26	0.329	4.90E-04	no
SCLAV4108 		Putative polyprenyl diphosphate synthase 		58	63	49	63	0.921	6.92E-02	no
SCLAV4109 		Dihydrofolate reductase 		50	49	34	35	0.703	7.86E-04	no
SCLAV4112 		Extracellular small neutral protease 		55	52	30	29	0.551	4.90E-04	no
SCLAV4113 		SnpR-like transcriptional regulator		83	85	73	79	0.905	1.04E-02	no
SCLAV4114 		NUDIX hydrolase 		54	62	30	37	0.576	1.19E-03	no
SCLAV4115 		Superoxide dismutase 		184	187	148	165	0.843	1.63E-03	no
SCLAV4116 		Signal peptidase 		33	38	29	36	0.913	6.92E-02	no
SCLAV4117 		DUF1470 domain containing protein		110	121	58	61	0.515	4.90E-04	no
SCLAV4118 	metZ	Methyltransferase 		127	137	76	78	0.583	4.90E-04	no
SCLAV4119 		ATP-binding protein 		52	60	65	57	1.089	1.90E-01	no
SCLAV4120 		permease 		75	77	110	121	1.515	7.86E-04	no
SCLAV4121 		secreted protein 		82	83	256	260	3.123	4.90E-04	yes
SCLAV4122 		Putative malate dehydrogenase 	1.1.1.38	54	67	137	170	2.541	8.76E-04	no
SCLAV4123 		Dehydrogenase 	1.1.1.1	74	80	107	98	1.327	3.66E-03	no
SCLAV4126 		Membrane protein 		49	49	47	53	1.027	1.81E-01	no
SCLAV4128 		Hypothetical protein		155	152	99	105	0.666	4.90E-04	no
SCLAV4129 		PBS lyase HEAT-like repeat domain protein 		81	77	59	63	0.771	1.03E-03	no
SCLAV4130 		"ATPase, AAA family, putative "		160	155	294	329	1.981	4.90E-04	yes
SCLAV4131 		Metallophosphoesterase 		44	51	62	59	1.27	4.50E-02	no
SCLAV4132 		Alpha-ketoglutarate decarboxylase 	1.2.4.2	450	431	286	266	0.627	4.90E-04	no
SCLAV4133 		Sensor protein 		41	46	77	89	1.9	9.98E-04	no
SCLAV4134 		Two-component system response regulator 		34	32	51	59	1.66	3.16E-03	no
SCLAV4135 		spermidine synthase-like protein		93	97	103	101	1.066	1.56E-01	no
SCLAV4136 	lonA	ATP-dependent protease La 	3.4.21.53	152	169	114	116	0.717	7.86E-04	no
SCLAV4137 		pentapeptide repeat-containing protein 		54	56	47	49	0.868	5.85E-03	no
SCLAV4138 		"N,O-diacetyl muramidase "		44	53	33	35	0.702	3.66E-03	no
SCLAV4139 		Putative MarR-family transcriptional regulator 		110	109	87	90	0.808	5.79E-04	no
SCLAV4140 		Hypothetical protein		42	46	30	32	0.705	1.63E-03	no
SCLAV4141 		putative sensor-like histidine kinase 		71	73	59	56	0.793	1.03E-03	no
SCLAV4142 		roadblock/LC7 family protein 		53	68	58	52	0.921	4.50E-02	no
SCLAV4143 		DUF742 domain containing protein		116	131	95	121	0.872	2.21E-02	no
SCLAV4144 		ATP/GTP-binding protein 		79	82	74	82	0.97	6.92E-02	no
SCLAV4145 		Putative oxygenase subunit 		60	53	40	42	0.722	2.19E-03	no
SCLAV4146 		NLP/P60 family secreted protein 		22	17	9	12	0.533	5.85E-03	no
SCLAV4147 		Hypothetical protein		42	46	30	35	0.742	3.66E-03	no
SCLAV4148 		DUF664 domain containing protein		392	386	107	117	0.288	4.90E-04	no
SCLAV4149 		TetR-family transcriptional regulator 		76	70	88	80	1.151	1.56E-01	no
SCLAV4150 		Hypothetical protein		81	81	207	208	2.572	4.90E-04	yes
SCLAV4151 		Hypothetical protein		141	141	430	441	3.092	4.90E-04	yes
SCLAV4152 		Putative hydrolase 	3.2.-.-	77	98	174	190	2.068	4.90E-04	yes
SCLAV4153 		Hypothetical protein		72	68	43	41	0.594	4.90E-04	no
SCLAV4154 		Putative penicillin-binding protein 		47	57	45	44	0.855	2.21E-02	no
SCLAV4155 		Putative cell division membrane protein 		56	56	31	43	0.662	3.16E-03	no
SCLAV4157 		protein-L-isoaspartate(D-aspartate) O-methyltransferase 		39	43	43	39	0.994	1.56E-01	no
SCLAV4160 		Putative DNA-binding protein 		110	112	117	138	1.15	1.81E-01	no
SCLAV4164 		Hypothetical protein		83	86	172	179	2.081	4.90E-04	yes
SCLAV4166 		Hypothetical protein		129	125	180	167	1.367	7.86E-04	no
SCLAV4167 		ATP dependent DNA ligase 	6.5.1.1	35	37	31	32	0.87	1.53E-02	no
SCLAV4168 	ligD	DNA ligase 	6.5.1.1	71	84	71	71	0.918	3.21E-02	no
SCLAV4169 	ku1	putative Ku70/Ku80 protein 		74	77	45	52	0.646	7.86E-04	no
SCLAV4170 		Putative FAD-dependent oxidoreductase 		16	20	20	22	1.146	1.90E-01	no
SCLAV4171 		Hypothetical protein		74	77	79	89	1.113	1.84E-01	no
SCLAV4172 		Hypothetical protein		71	82	62	69	0.858	1.04E-02	no
SCLAV4173 		"RNA polymerase, sigma-24 subunit, ECF subfamily "		75	95	186	190	2.21	4.90E-04	yes
SCLAV4174 		putative transmembrane anti-sigma factor 		49	56	87	89	1.668	4.90E-04	yes
SCLAV4175 		two-component system response regulator 		96	83	161	139	1.672	1.19E-03	no
SCLAV4176 		ATPase domain-containing protein		50	47	65	55	1.232	1.56E-01	no
SCLAV4177 		RNA polymerase sigma factor 		77	82	111	120	1.453	8.76E-04	no
SCLAV4179 	pbp2	Penicillin-binding protein 		261	239	194	177	0.743	7.86E-04	no
SCLAV4180 	pbpA	Penicillin-binding protein PBP 		89	81	358	388	4.394	4.90E-04	yes
SCLAV4181 	gcas	biotin carboxylase		90	104	139	158	1.529	2.19E-03	no
SCLAV4182 	orf16	DUF482 domain containing protein		166	176	488	485	2.85	4.90E-04	yes
SCLAV4183 	oppA2	"ABC-type dipeptide transport system, periplasmic component "		84	82	175	194	2.233	4.90E-04	yes
SCLAV4184 		Hypothetical protein		98	99	118	125	1.232	2.19E-03	no
SCLAV4185 	orf14	acetyltransferase (GNAT) family protein		155	158	243	258	1.599	4.90E-04	yes
SCLAV4186 	orf13	integral membrane protein DUF6		136	145	319	293	2.179	4.90E-04	yes
SCLAV4187 	orf12	Beta-lactamase 		126	127	448	466	3.615	4.90E-04	yes
SCLAV4189 	cyp	Cytochrome P450-SU2 		119	140	764	665	5.525	4.90E-04	yes
SCLAV4190 	car	Clavaldehyde dehydrogenase 		131	115	581	560	4.655	4.90E-04	yes
SCLAV4191 	claR	Transcriptional activator ClaR 		259	264	784	741	2.917	4.90E-04	yes
SCLAV4192 	oppA1	"ABC-type dipeptide transport system, periplasmic component "		180	195	426	410	2.226	4.90E-04	yes
SCLAV4193 	oat2	Glutamate N-acetyltransferase 2 beta chain 	2.3.1.35	371	379	419	421	1.12	4.90E-04	yes
SCLAV4194 	cas2	Clavaminate synthase 2 	1.14.11.21	78	81	631	628	7.875	4.90E-04	yes
SCLAV4195 	pah2	Proclavaminate amidinohydrolase 	3.5.3.22	90	93	473	480	5.208	4.90E-04	yes
SCLAV4196 	bls2	Carboxyethyl-arginine beta-lactam-synthase 	6.3.3.4	43	50	199	229	4.608	4.90E-04	yes
SCLAV4197 	ceaS2	Carboxyethylarginine synthase 	2.5.1.66	83	85	470	450	5.476	4.90E-04	yes
SCLAV4198 	pcbR	Secreted penicillin binding protein 		248	253	467	472	1.877	4.90E-04	yes
SCLAV4200 	pcbAB	N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase 	6.3.2.26	55	65	238	221	3.834	4.90E-04	yes
SCLAV4201 	lat	L-lysine-epsilon aminotransferase 	2.6.1.36	64	67	199	215	3.15	4.90E-04	yes
SCLAV4202 	blp	Beta-Lactamase Inhibitory Protein-Like Protein		46	52	62	62	1.266	2.21E-02	no
SCLAV4203 	orf10	Secreted protein 		81	74	101	91	1.249	3.21E-02	no
SCLAV4204 	ccaR	Positive regulator 		132	142	774	763	5.601	4.90E-04	yes
SCLAV4205 	cmcH	3'-hydroxymethylcephem-O-carbamoyltransferase 	2.1.3.-	34	40	167	190	4.8	4.90E-04	yes
SCLAV4206 	cefF	Deacetoxycephalosporin C hydroxylase 	1.14.11.26	58	65	260	268	4.269	4.90E-04	yes
SCLAV4207 	cmcJ	Hypothetical protein		57	63	276	274	4.579	4.90E-04	yes
SCLAV4208 	cmcI	Cephalosporin hydroxylase CmcI 		64	66	462	435	6.922	4.90E-04	yes
SCLAV4210 	cefD	Isopenicillin N epimerase 	5.1.1.17	61	57	181	174	3.011	4.90E-04	yes
SCLAV4211 	cefE	Deacetoxycephalosporin C synthetase 	1.14.20.1	98	96	421	434	4.425	4.90E-04	yes
SCLAV4212 	pcd	Aldehyde dehydrogenase 	1.2.1.3	155	162	384	396	2.464	4.90E-04	yes
SCLAV4213 	cmcT	CmcT protein 		48	56	45	46	0.874	2.21E-02	no
SCLAV4214 	pbp74	Penicillin binding protein PbpA 		158	148	146	149	0.964	3.21E-02	no
SCLAV4216 	bla	Beta-lactamase 		53	57	36	36	0.659	7.86E-04	no
SCLAV4217 		SclU-like protein		75	77	37	34	0.464	4.90E-04	no
SCLAV4218 		YD repeat-containing protein		32	35	24	26	0.748	4.42E-03	no
SCLAV4219 		YD repeat-containing protein		79	86	37	36	0.443	4.90E-04	no
SCLAV4220 		zinc finger SWIM domain-containing protein		57	55	30	31	0.552	4.90E-04	no
SCLAV4221 		Hypothetical protein		45	46	18	24	0.452	7.86E-04	no
SCLAV4224 		HAD-superfamily hydrolase 		114	119	39	38	0.333	4.90E-04	no
SCLAV4225 		"Transcriptional regulator, GntR family "		86	91	25	24	0.276	4.90E-04	no
SCLAV4227 		Hypothetical protein		95	103	64	62	0.638	4.90E-04	no
SCLAV4228 		Hypothetical protein		66	65	33	30	0.486	4.90E-04	no
SCLAV4231 		putative secreted protein		68	71	60	58	0.851	2.63E-03	no
SCLAV4235 	traA1	Putative sporulation-related protein 		62	64	42	48	0.717	1.19E-03	no
SCLAV4236 		sporulation-related protein 		95	105	63	68	0.658	7.86E-04	no
SCLAV4240 		Hypothetical protein		89	75	58	53	0.678	1.63E-03	no
SCLAV4241 		Hypothetical protein		126	105	71	75	0.627	1.03E-03	no
SCLAV4242 		Hypothetical protein		42	40	24	21	0.552	7.86E-04	no
SCLAV4243 		ATP-binding protein 		101	102	44	48	0.456	4.90E-04	no
SCLAV4244 		excisionase 		93	103	41	55	0.489	6.56E-04	no
SCLAV4245 		integrase 		137	146	53	58	0.394	4.90E-04	no
SCLAV4247 		Putative two-component system response regulator 		261	250	264	284	1.073	1.81E-01	no
SCLAV4248 	argS	arginyl-tRNA synthetase 	6.1.1.19	203	216	165	172	0.805	7.86E-04	no
SCLAV4249 		Diaminopimelate decarboxylase 	4.1.1.20	219	226	173	179	0.793	4.90E-04	no
SCLAV4250 		Homoserine dehydrogenase 	1.1.1.3	77	76	67	61	0.837	3.16E-03	no
SCLAV4251 		Threonine synthase 	4.2.3.1	274	271	232	249	0.884	1.28E-03	no
SCLAV4252 		Homoserine kinase 	2.7.1.39	90	86	113	115	1.289	5.79E-04	no
SCLAV4254 	rho	transcription termination factor Rho 		207	216	271	288	1.323	4.90E-04	yes
SCLAV4255 		secreted trypsin-like protease 		121	132	127	149	1.088	1.90E-01	no
SCLAV4256 		Transcriptional regulator 		497	489	493	517	1.024	1.90E-01	no
SCLAV4257 	rpmE	50S ribosomal protein L31 		721	690	987	924	1.355	4.90E-04	yes
SCLAV4258 		Peptide chain release factor 1 		238	254	266	280	1.112	3.21E-02	no
SCLAV4259 		Methyltransferase 		109	113	104	109	0.959	3.21E-02	no
SCLAV4260 		Sua5/YciO/YrdC/YwlC 		99	85	67	90	0.853	2.21E-02	no
SCLAV4261 		Tyrosine phosphatase 	3.1.3.48	142	133	102	114	0.786	1.19E-03	no
SCLAV4262 		Serine hydroxymethyltransferase 	2.1.2.1	88	95	44	51	0.519	4.90E-04	no
SCLAV4263 		transferase 	2.7.8.-	135	122	91	93	0.718	7.86E-04	no
SCLAV4264 		ATP synthase I 		57	56	60	50	0.976	1.09E-01	no
SCLAV4265 		ATP synthase subunit a 	3.6.3.14	127	146	101	122	0.818	7.63E-03	no
SCLAV4266 		F-type proton-transporting ATPase c chain 	3.6.3.14	190	199	285	281	1.454	4.90E-04	yes
SCLAV4267 		ATP synthase B chain 	3.6.3.14	115	120	164	179	1.454	5.79E-04	no
SCLAV4268 		ATP synthase subunit delta 	3.6.3.14	87	99	114	102	1.157	1.81E-01	no
SCLAV4269 	atpA	ATP synthase subunit alpha 	3.6.3.14	214	219	172	177	0.807	4.90E-04	no
SCLAV4270 		ATP synthase gamma chain 	3.6.3.14	154	155	164	151	1.018	1.84E-01	no
SCLAV4271 	atpB	ATP synthase subunit beta 	3.6.3.14	141	137	128	130	0.927	3.66E-03	no
SCLAV4272 		ATP synthase epsilon chain 	3.6.3.14	343	333	351	326	1.003	1.56E-01	no
SCLAV4273 		Putative secreted/membrane protein 		92	86	53	69	0.692	2.19E-03	no
SCLAV4274 		Methyltransferase family protein 		84	84	72	77	0.892	4.42E-03	no
SCLAV4275 		Putative mutT-like protein 		97	106	89	91	0.886	5.85E-03	no
SCLAV4276 		Phosphatidylglycerophosphatase B homolog 		106	110	95	104	0.921	1.53E-02	no
SCLAV4278 		ABC-2 type transporter 		36	37	24	21	0.622	1.03E-03	no
SCLAV4279 		ABC transporter related 		46	52	33	40	0.745	4.42E-03	no
SCLAV4280 		Type I phosphodiesterase/nucleotide pyrophosphatase 		76	72	58	63	0.812	2.63E-03	no
SCLAV4281 		Phosphoglycerate mutase 	5.4.2.1	45	46	30	35	0.717	2.19E-03	no
SCLAV4282 		UDP-glucose 4-epimerase 		33	38	32	29	0.863	2.21E-02	no
SCLAV4283 		LmbE family protein 		42	46	33	35	0.777	3.66E-03	no
SCLAV4284 		Glycosyl transferase group 1 		57	52	46	45	0.824	5.85E-03	no
SCLAV4285 		GCN5-related N-acetyltransferase 		31	37	29	27	0.828	2.21E-02	no
SCLAV4286 		Radical SAM domain protein 		58	62	61	61	1.012	1.81E-01	no
SCLAV4287 		NAD-dependent epimerase/dehydratase 	4.2.1.46	81	84	85	87	1.038	1.90E-01	no
SCLAV4288 		chitinase C precursor 		85	90	55	58	0.644	4.90E-04	no
SCLAV4289 		Two-component system response regulator 		64	62	48	41	0.714	1.28E-03	no
SCLAV4290 		Sensor-histidine kinase 		53	42	38	36	0.779	1.04E-02	no
SCLAV4291 		Putative membrane protein 		102	101	75	65	0.686	7.86E-04	no
SCLAV4292 		Cobalamin adenosyltransferase 		71	72	68	79	1.03	1.84E-01	no
SCLAV4293 		3-hydroxyacyl-CoA dehydrogenase 	1.1.1.157	102	102	132	137	1.327	4.90E-04	yes
SCLAV4294 		Anti-sigma factor antagonist 		41	38	38	35	0.929	4.50E-02	no
SCLAV4295 		DUF605 multi-domain protein		70	79	29	32	0.41	4.90E-04	no
SCLAV4296 		DUF91 domain containing protein		133	138	124	128	0.928	5.85E-03	no
SCLAV4298 		Hypothetical protein		184	184	348	328	1.839	4.90E-04	yes
SCLAV4299 		Luciferase-family protein 		171	166	125	136	0.775	6.56E-04	no
